id,locationID,victimID,month,day,year,classification,armed,lawenforcementagency
1,1,1,January,1,2016,Gunshot,Knife,"San Diego Police Department"
2,2,2,January,3,2016,Gunshot,Firearm,"Charlotte-Mecklenburg Police Department"
3,3,3,January,2,2016,Gunshot,Knife,"Livingston Police Department"
4,4,4,January,4,2016,Gunshot,Firearm,"Oklahoma City Police Department"
5,5,5,January,4,2016,Gunshot,Unknown,"Beauregard Parish Sheriff's Office"
6,6,6,January,5,2016,Gunshot,Knife,"Upper Darby Police Department"
7,7,7,January,5,2016,Gunshot,No,"Thurston County Sheriff's Office"
8,8,8,January,5,2016,Gunshot,Firearm,"Redding Police Department"
9,9,9,January,6,2016,Gunshot,"Non-lethal firearm","Zion Police Department"
10,10,10,January,5,2016,Gunshot,Other,"Ceres Police Department"
11,11,11,January,5,2016,Gunshot,Knife,"United States Marshal Service"
12,12,12,January,7,2016,Gunshot,Firearm,"New Mexico State Police"
13,13,13,January,7,2016,Gunshot,Firearm,"Owensboro Police Department"
14,14,14,January,9,2016,Gunshot,Other,"Cowlitz County Sheriff's Office, Kelso Police Department"
15,15,15,January,10,2016,Gunshot,"Non-lethal firearm","Maryland State Police"
16,16,16,January,8,2016,Gunshot,Firearm,"Bartow County Sheriff's Office"
17,17,17,January,8,2016,Gunshot,Knife,"Town of Geneva Police Department"
18,18,18,January,11,2016,Gunshot,"Non-lethal firearm","Cincinnati Police Department"
19,19,19,January,11,2016,Gunshot,Firearm,"Denver Police Department"
20,20,20,January,11,2016,Gunshot,No,"San Fernando Police Department"
21,21,21,January,11,2016,Gunshot,No,"Pennsylvania state constable"
22,22,22,January,12,2016,Gunshot,Knife,"Anchorage Police Department"
23,23,23,January,11,2016,Gunshot,Firearm,"Norfolk Police Department"
24,24,24,January,14,2016,Gunshot,Firearm,"Illinois State Police"
25,25,25,January,13,2016,Gunshot,Firearm,"Cle Elum-Roslyn-South Cle Elum Police Department"
26,26,26,January,14,2016,Gunshot,Knife,"Los Angeles County Sheriff's Department"
27,27,27,January,16,2016,Gunshot,No,"El Cajon Police Department"
28,28,28,January,17,2016,Gunshot,Knife,"Los Angeles Police Department"
29,29,29,January,16,2016,Gunshot,"Non-lethal firearm","Los Angeles Police Department"
30,30,30,January,16,2016,Gunshot,Firearm,"Palm Beach County Sheriff's Office"
31,31,31,January,15,2016,Gunshot,Firearm,"West Virginia State Police"
32,32,32,January,18,2016,Gunshot,Knife,"Medford Police Department"
33,33,33,January,16,2016,Gunshot,"Non-lethal firearm","Beaverton Police Department"
34,34,34,January,17,2016,Gunshot,Firearm,"Rainbow City Police Department"
35,35,35,January,17,2016,Gunshot,Firearm,"St Louis Metropolitan Police Department"
36,36,36,January,17,2016,Gunshot,Firearm,"San Antonio Police Department"
37,37,37,January,18,2016,Gunshot,Firearm,"Tucson Police Department"
38,38,38,January,16,2016,Gunshot,Vehicle,"West Virginia State Police"
39,39,39,January,17,2016,Gunshot,Firearm,"Unified Police Department"
40,40,40,January,18,2016,Gunshot,No,"Mesa Police Department"
41,41,41,January,18,2016,Gunshot,Other,"Union City Police Department"
42,42,42,January,18,2016,Gunshot,Firearm,"Phoenix Police Department"
43,43,43,January,19,2016,Gunshot,Knife,"Iredell County Sheriff's Office"
44,44,44,January,19,2016,Gunshot,Firearm,"Forney Police Department, Mesquite Police Department"
45,45,45,January,18,2016,Gunshot,"Non-lethal firearm","Orlando Police Department"
46,46,46,January,13,2016,Gunshot,Firearm,"Sevier County Sheriff's Office"
47,47,47,January,19,2016,Gunshot,Firearm,"Lowndes County Sheriff’s Office"
48,48,48,January,20,2016,Gunshot,Firearm,"Madison County Sheriff's Office"
49,49,49,January,20,2016,Gunshot,Firearm,"St Landry Parish Sheriff's Office"
50,50,50,January,20,2016,Gunshot,Knife,"Kerrville Police Department"
51,51,51,January,15,2016,Gunshot,Firearm,"Michigan State Police, FBI"
52,52,52,January,21,2016,Gunshot,Firearm,"Eufaula Police Department, McIntosh County Sheriff's Office, Oklahoma Highway Patrol"
53,53,53,January,2,2016,Gunshot,Firearm,"Sweetwater Police Department"
54,54,54,January,2,2016,Gunshot,Firearm,"United States Marshal Service"
55,55,55,January,22,2016,Gunshot,Firearm,"Richmond County Sheriff's Office"
56,56,56,January,22,2016,"Struck by vehicle",No,"Winona Lake Police Department"
57,57,57,January,23,2016,Gunshot,"Non-lethal firearm","Clanton Police Department, Chilton County Sheriff's Office"
58,58,58,January,25,2016,Gunshot,Knife,"Reno Police Department"
59,59,59,January,19,2016,"Death in custody",No,"Stockton Police Department"
60,60,60,January,26,2016,Gunshot,Firearm,"Oregon State Police, FBI"
61,61,61,January,27,2016,Gunshot,Vehicle,"Dearborn Police Department"
62,62,62,January,27,2016,Gunshot,Firearm,"Memphis Police Department"
63,63,63,January,27,2016,Gunshot,Firearm,"Georgia State Patrol"
64,64,64,January,27,2016,Gunshot,Firearm,"Johnson County Sheriff's Office, Texas Department of Public Safety"
65,65,65,January,27,2016,Gunshot,Firearm,"Mountain Pine Police Department"
66,66,66,January,27,2016,Gunshot,Knife,"Dillon County Sheriff's Department"
67,67,67,January,27,2016,Gunshot,Firearm,"Santa Fe Police Department"
68,68,68,January,28,2016,Gunshot,"Non-lethal firearm","Loudon County Sheriff's Office"
69,69,69,January,28,2016,Gunshot,Firearm,"Omaha Police Department"
70,70,70,January,29,2016,Gunshot,Vehicle,"Tacoma Police Department"
71,71,71,January,29,2016,Gunshot,Firearm,"Lynn Police Department"
72,72,72,January,29,2016,Gunshot,Firearm,"Irving Police Department"
73,73,73,January,30,2016,Gunshot,Other,"Larimer County Sheriff's Office"
74,74,74,January,30,2016,Gunshot,Firearm,"Walker County Sheriff's Office, Catoosa County Sheriff's Office"
75,75,75,January,30,2016,Gunshot,No,"Saginaw Police Department"
76,76,76,January,31,2016,Gunshot,Knife,"Port Authority Police Department"
77,77,77,January,31,2016,Gunshot,Firearm,"Chicago Police Department"
78,78,78,February,1,2016,Gunshot,"Non-lethal firearm","Washington Metropolitan Police Department"
