id,address,city,state
1,"4200 6th Ave","San Diego",CA
2,"2600 Watson Dr",Charlotte,NC
3,"100 Washington St",Livingston,MT
4,"3600 NW 42nd St","Oklahoma City",OK
5,"Gene Stanley Rd",Ragley,LA
6,"151 S Bishop Ave","Clifton Heights",PA
7,"93rd Ave SE",Olympia,WA
8,"200 Boulder Creek Dr",Redding,CA
9,"2000 Ezekiel Ave",Zion,IL
10,"2601 Don Pedro Rd",Ceres,CA
11,"Mary St","Johnson City",TN
12,US-380,Carrizozo,NM
13,"",Owensboro,KY
14,"8900 Rose Valley Rd",Kelso,WA
15,"600 Lombard Rd","Rising Sun",MD
16,"4500 Bartow Carver Rd SE",Acworth,GA
17,"3800 Lincoln Dr","Lake Geneva",WI
18,"Rapid Run Rd and Sunset Ave",Cincinnati,OH
19,"W 26th Ave and Zuni St",Denver,CO
20,"San Fernando Rd and Hubbard St","San Fernando",CA
21,"Rebecca Dr",Duncannon,PA
22,"Arctic Blvd and W 32nd Ave",Anchorage,AK
23,"1100 Land St",Norfolk,VA
24,"111 Seba St",Hurst,IL
25,"805 W 1st St","Cle Elum",WA
26,"Shangri-La Dr and Nathan Hill Dr","Santa Clarita",CA
27,"300 S Pierce St","El Cajon",CA
28,"8800 Norwich Ave","Los Angeles",CA
29,"1800 Nichols Canyon Rd","Los Angeles",CA
30,"SW Ave D and SW 9th St","Belle Glade",FL
31,"Ward Ave",Elkins,WV
32,"3012 Crater Lake Hwy",Medford,OR
33,"10100 SW Murray Blvd",Beaverton,OR
34,"164 Christopher St","Rainbow City",AL
35,"3517 S Grand Blvd","St Louis",MO
36,"5600 Enrique Barerra Pkwy","San Antonio",TX
37,"N Oracle Rd and W Roger Rd",Tucson,AZ
38,"",Petroleum,WV
39,"2167 E 4500 S",Holladay,UT
40,"6530 E Superstition Springs Blvd",Mesa,AZ
41,"3800 Amy Pl","Union City",CA
42,"W Peoria Ave and N 19th Ave",Phoenix,AZ
43,"Virginia Ave",Statesville,NC
44,"1100 Riverwood Rd",Dallas,TX
45,"Swissco Dr",Orlando,FL
46,"180 Collier Dr",Sevierville,TN
47,"3495 Madison Hwy",Valdosta,GA
48,"US-231 and Inspirational Dr",Meridianville,AL
49,"Louisiana Hwy 741","Port Barre",LA
50,"",Harper,TX
51,"27033 Northwestern Hwy",Southfield,MI
52,US-69,Eufaula,OK
53,"I-20 and Texas Hwy 70",Sweetwater,TX
54,"1301 E 10th St","Sioux Falls",SD
55,"900 Horseshoe Rd",Augusta,GA
56,"Husky Trail",Warsaw,IN
57,"1855 County Rd 701",Clanton,AL
58,"S McCarran Blvd",Reno,NV
59,"3200 Nicole St",Stockton,CA
60,US-395,Burns,OR
61,"Hubbard Dr",Dearborn,MI
62,"800 South Parkway E",Memphis,TN
63,"I-75 and Delk Rd",Marietta,GA
64,"4000 Vista Ridge Ln",Alvarado,TX
65,"Little Blakely Creek Rd",Jessieville,AR
66,"Pocosin Rd",Latta,SC
67,"3007 Cerrillos Rd","Santa Fe",NM
68,"Grandview Dr","Lenoir City",TN
69,"3600 S 67th St",Omaha,NE
70,"3300 S Sawyer St",Tacoma,WA
71,"Western Ave and Nichols Ave",Lynn,MA
72,"Texas Hwy 183",Irving,TX
73,"401 N Timberline Rd","Fort Collins",CO
74,"Sheila Gail Ln",Rossville,GA
75,"Old Decatur Rd",Saginaw,TX
76,"Whitney Ave",Pittsburgh,PA
77,"7300 S Paulina St",Chicago,IL
78,"5300 Clay Terrace NE",Washington,DC
79,"","Sugar Creek",MO
80,"N 3rd St and W Main St",Immokalee,FL
81,"36500 Bridgepointe Dr",Newark,CA
82,"La Veta Dr NE and El Encanto Pl NE",Albuquerque,NM
83,"10635 Folsom Blvd","Rancho Cordova",CA
84,"","Okmulgee County",OK
85,"Lee Road 443","Phenix City",AL
86,"Chestnut Ave",Carbondale,PA
87,"",Rosebud,SD
88,"Baseline Rd and Cherry Rd",Ocala,FL
89,"10362 Sahara Street","San Antonio",TX
90,"2925 River Rd",Perry,OH
91,"E Brown Rd and N 80th St",Mesa,AZ
92,"Blue Ridge Blvd and E 113th St","Kansas City",MO
